fromNode,toNode,weight,date,title
10770,10336,1,1992-06-29,"String Theory, Black Holes, and SL(2,R) Current Algebra"
10776,8151,1,1992-07-01,All Symmetries of Non-Einsteinian Gravity in $d =2$
10776,11215,1,1992-07-01,All Symmetries of Non-Einsteinian Gravity in $d =2$
10777,10323,1,1992-07-01,Duality in Non-Trivially Compactified Heterotic Strings
10786,10730,1,1992-07-03,Classical Hamiltonian Reduction and Superconformal Algebras
10790,10299,1,1992-07-06,Noncompact Symmetries in String Theory
10806,10336,1,1992-07-10,Quantum Theories of Dilaton Gravity
10809,10313,1,1992-07-13,Dynkin TBA's
10809,10370,1,1992-07-13,Dynkin TBA's
10807,10396,1,1992-07-13,Finite Euler Hierarchies And Integrable Universal Equations
10830,10438,1,1992-07-20,Light-Cone Quantization of the c=2 Matrix Model
10828,10290,1,1992-07-20,Physical Degrees of Freedom in 2-D String Field Theories
10828,10332,1,1992-07-20,Physical Degrees of Freedom in 2-D String Field Theories
10834,10370,1,1992-07-21,A New Family of Diagonal Ade-Related Scattering Theories
10838,10362,1,1992-07-22,Integrable N=2 Supersymmetric Field Theories
10841,10336,1,1992-07-22,Semi-classical Approach to Charged Dilatonic Black Hole in Two
10842,10290,1,1992-07-23,BRST cohomology ring in 2D gravity coupled to minimal models
10842,10346,1,1992-07-23,BRST cohomology ring in 2D gravity coupled to minimal models
10848,10300,1,1992-07-26,An introduction to non-commutative differential geometry on quantum
10854,10741,1,1992-07-28,Collective Coordinate Action for Charged Sigma-Model Vortices in Finite
10867,10332,1,1992-07-30,Chiral Rings and Physical States in c<1 String Theory
10867,10346,1,1992-07-30,Chiral Rings and Physical States in c<1 String Theory
10874,10323,1,1992-07-31,Chiral gravity in two dimensions
10872,10413,1,1992-07-31,Towards a path integral for the pure-spin connection formulation of
10875,10609,1,1992-07-31,Heterotic String Models in Curved Spacetime
10876,10609,1,1992-08-01,"$SL(2,R)xSU(2)/R^2$ string model in curved spacetime and exact conformal"
10876,10683,1,1992-08-01,"$SL(2,R)xSU(2)/R^2$ string model in curved spacetime and exact conformal"
10876,10720,1,1992-08-01,"$SL(2,R)xSU(2)/R^2$ string model in curved spacetime and exact conformal"
12384,10289,1,1992-08-05,"Particles, Superparticles and Super Yang--Mills"
12384,10466,1,1992-08-05,"Particles, Superparticles and Super Yang--Mills"
12384,10723,1,1992-08-05,"Particles, Superparticles and Super Yang--Mills"
12384,10817,1,1992-08-05,"Particles, Superparticles and Super Yang--Mills"
10894,10314,1,1992-08-06,The Problem of Large-N Phase Transition in Kazakov-Migdal Model of
10894,10358,1,1992-08-06,The Problem of Large-N Phase Transition in Kazakov-Migdal Model of
10896,10296,1,1992-08-08,On string field theory for $C \leq 1$
10896,10297,1,1992-08-08,On string field theory for $C \leq 1$
10907,10410,1,1992-08-12,A Hierarchical Array of Integrable Models
10909,10573,1,1992-08-12,Gravitationally Collapsing Dust in $(2+1)$ Dimensions
10910,10300,1,1992-08-13,Bicovariant differential geometry of the quantum group GL_q(3)
10916,10802,1,1992-08-15,Diffeomorphism group and conformal fields
10916,10803,1,1992-08-15,Diffeomorphism group and conformal fields
10917,10295,1,1992-08-17,Conformal Matrix Models as an Alternative to Conventional Multi-Matrix
10919,10297,1,1992-08-19,Landau-Ginzburg Topological Theories in the Framework of GKM and
10935,10410,1,1992-08-24,Excitation Scattering in Integrable Models and Hall-Littlewood-Kerov
10936,10347,1,1992-08-25,Genus Zero Correlation Functions in c<1 String Theory
12462,10424,1,1992-08-26,A Large Class of New Gravitational and Axionic Backgrounds for
12462,10450,1,1992-08-26,A Large Class of New Gravitational and Axionic Backgrounds for
12462,10493,1,1992-08-26,A Large Class of New Gravitational and Axionic Backgrounds for
12462,10529,1,1992-08-26,A Large Class of New Gravitational and Axionic Backgrounds for
12462,10609,1,1992-08-26,A Large Class of New Gravitational and Axionic Backgrounds for
12462,10618,1,1992-08-26,A Large Class of New Gravitational and Axionic Backgrounds for
12462,10683,1,1992-08-26,A Large Class of New Gravitational and Axionic Backgrounds for
12462,10745,1,1992-08-26,A Large Class of New Gravitational and Axionic Backgrounds for
12462,10876,1,1992-08-26,A Large Class of New Gravitational and Axionic Backgrounds for
12462,10966,1,1992-08-26,A Large Class of New Gravitational and Axionic Backgrounds for
12462,10971,1,1992-08-26,A Large Class of New Gravitational and Axionic Backgrounds for
12462,11105,1,1992-08-26,A Large Class of New Gravitational and Axionic Backgrounds for
12462,11220,1,1992-08-26,A Large Class of New Gravitational and Axionic Backgrounds for
12462,11360,1,1992-08-26,A Large Class of New Gravitational and Axionic Backgrounds for
10940,10386,1,1992-08-27,Dual formulation of classical W-algebras
10946,10588,1,1992-08-28,Locally supersymmetric D=3 non-linear sigma models
10952,10332,1,1992-09-01,Correlation Functions in Two-Dimensional Dilaton Gravity
10952,10336,1,1992-09-01,Correlation Functions in Two-Dimensional Dilaton Gravity
10952,10381,1,1992-09-01,Correlation Functions in Two-Dimensional Dilaton Gravity
10952,10467,1,1992-09-01,Correlation Functions in Two-Dimensional Dilaton Gravity
10952,10469,1,1992-09-01,Correlation Functions in Two-Dimensional Dilaton Gravity
10953,10336,1,1992-09-01,c = 1 Two Dimensional Quantum Gravity
10953,10381,1,1992-09-01,c = 1 Two Dimensional Quantum Gravity
10953,10467,1,1992-09-01,c = 1 Two Dimensional Quantum Gravity
10953,10469,1,1992-09-01,c = 1 Two Dimensional Quantum Gravity
10953,10864,1,1992-09-01,c = 1 Two Dimensional Quantum Gravity
10960,10336,1,1992-09-02,Semiclassical Approach to Black Hole Evaporation
10960,10467,1,1992-09-02,Semiclassical Approach to Black Hole Evaporation
10959,10593,1,1992-09-02,BRST-anti-BRST Antifield formalism : The Example of the
10963,10304,1,1992-09-03,Cosmic Censorship in Two-Dimensional Gravity
10963,10336,1,1992-09-03,Cosmic Censorship in Two-Dimensional Gravity
10963,10458,1,1992-09-03,Cosmic Censorship in Two-Dimensional Gravity
10963,10467,1,1992-09-03,Cosmic Censorship in Two-Dimensional Gravity
10962,10290,1,1992-09-04,The Complete Structure of the Cohomology Ring and Associated Symmetries
10962,10332,1,1992-09-04,The Complete Structure of the Cohomology Ring and Associated Symmetries
10962,10346,1,1992-09-04,The Complete Structure of the Cohomology Ring and Associated Symmetries
10962,10347,1,1992-09-04,The Complete Structure of the Cohomology Ring and Associated Symmetries
10968,10636,1,1992-09-07,Fractionally Charged Particles and Supersymmetry Breaking in 4D Strings
10969,10331,1,1992-09-07,Laurent Series Representation for the Open Superstring Free Energy
10971,10304,1,1992-09-08,String vacuum backgrounds with covariantly constant null Killing vector
10971,10588,1,1992-09-08,String vacuum backgrounds with covariantly constant null Killing vector
10971,10627,1,1992-09-08,String vacuum backgrounds with covariantly constant null Killing vector
10970,10506,1,1992-09-08,Perturbative analysis of an n-Ising model on a random surface
10970,10707,1,1992-09-08,Perturbative analysis of an n-Ising model on a random surface
10979,7937,1,1992-09-10,Pair Creation of Open Strings in an Electric Field
10981,10332,1,1992-09-10,Semi-infinite cohomology in conformal field theory and 2d gravity
10982,10290,1,1992-09-11,Interacting Theory of Collective and Topological Fields in 2 Dimensions
10982,10522,1,1992-09-11,Interacting Theory of Collective and Topological Fields in 2 Dimensions
10982,10865,1,1992-09-11,Interacting Theory of Collective and Topological Fields in 2 Dimensions
10983,10442,1,1992-09-11,A Derivation of the BRST Operator for Non-Critical W-Strings
10991,10391,1,1992-09-14,Stringy Instantons
10995,10438,1,1992-09-14,String Spectrum of 1+1-Dimensional Large N QCD with Adjoint Matter
10995,10830,1,1992-09-14,String Spectrum of 1+1-Dimensional Large N QCD with Adjoint Matter
10996,10299,1,1992-09-15,Boosting Away Singularities from Conformal String Backgrounds
10996,10320,1,1992-09-15,Boosting Away Singularities from Conformal String Backgrounds
10996,10511,1,1992-09-15,Boosting Away Singularities from Conformal String Backgrounds
10996,10631,1,1992-09-15,Boosting Away Singularities from Conformal String Backgrounds
10998,10335,1,1992-09-15,Quantum Aspects of Black Holes
10998,10336,1,1992-09-15,Quantum Aspects of Black Holes
10998,10356,1,1992-09-15,Quantum Aspects of Black Holes
10998,10458,1,1992-09-15,Quantum Aspects of Black Holes
10998,10467,1,1992-09-15,Quantum Aspects of Black Holes
10998,10468,1,1992-09-15,Quantum Aspects of Black Holes
10998,10472,1,1992-09-15,Quantum Aspects of Black Holes
10998,10493,1,1992-09-15,Quantum Aspects of Black Holes
10998,10513,1,1992-09-15,Quantum Aspects of Black Holes
10998,10552,1,1992-09-15,Quantum Aspects of Black Holes
10998,10602,1,1992-09-15,Quantum Aspects of Black Holes
10998,10637,1,1992-09-15,Quantum Aspects of Black Holes
10998,10652,1,1992-09-15,Quantum Aspects of Black Holes
10998,10694,1,1992-09-15,Quantum Aspects of Black Holes
10998,10740,1,1992-09-15,Quantum Aspects of Black Holes
10998,10753,1,1992-09-15,Quantum Aspects of Black Holes
10998,10781,1,1992-09-15,Quantum Aspects of Black Holes
10998,10806,1,1992-09-15,Quantum Aspects of Black Holes
10998,10841,1,1992-09-15,Quantum Aspects of Black Holes
10998,10856,1,1992-09-15,Quantum Aspects of Black Holes
10998,10864,1,1992-09-15,Quantum Aspects of Black Holes
11000,10335,1,1992-09-16,Do Black Holes Destroy Information?
11000,10336,1,1992-09-16,Do Black Holes Destroy Information?
11000,10432,1,1992-09-16,Do Black Holes Destroy Information?
11000,10472,1,1992-09-16,Do Black Holes Destroy Information?
11011,10356,1,1992-09-19,Black Holes with a Massive Dilaton
11015,10398,1,1992-09-22,On the generalized Miura transformation
11015,10400,1,1992-09-22,On the generalized Miura transformation
11015,10442,1,1992-09-22,On the generalized Miura transformation
11015,10589,1,1992-09-22,On the generalized Miura transformation
11019,10391,1,1992-09-22,Non-Perturbative Effects in 2-D String Theory or Beyond the Liouville
11022,10477,1,1992-09-22,Ising Model and $N=2$ Supersymmetric Theories
11025,10802,1,1992-09-24,Vect(N) Invariants and Quantum Gravity
11025,10803,1,1992-09-24,Vect(N) Invariants and Quantum Gravity
11027,10446,1,1992-09-24,Anyonic States in Chern-Simons Theory
11028,10332,1,1992-09-24,Introduction to sh Lie algebras for physicists
11029,10295,1,1992-09-25,On the Continuum Limit of the Conformal Matrix Models
11032,10571,1,1992-09-25,Null vectors of the W_3 algebra
11032,10742,1,1992-09-25,Null vectors of the W_3 algebra
11032,10805,1,1992-09-25,Null vectors of the W_3 algebra
11034,10401,1,1992-09-26,Quaternionic Superconformal Field Theory
11034,10466,1,1992-09-26,Quaternionic Superconformal Field Theory
11034,10551,1,1992-09-26,Quaternionic Superconformal Field Theory
11034,10817,1,1992-09-26,Quaternionic Superconformal Field Theory
11035,10306,1,1992-09-26,New classical r-matrices from integrable non-linear sigma models
11040,10303,1,1992-09-28,Twistor-Like Type II Superstring and Bosonic String
11039,10304,1,1992-09-28,Toy Models For Black Hole Evaporation
11039,10336,1,1992-09-28,Toy Models For Black Hole Evaporation
11039,10356,1,1992-09-28,Toy Models For Black Hole Evaporation
11039,10412,1,1992-09-28,Toy Models For Black Hole Evaporation
11039,10458,1,1992-09-28,Toy Models For Black Hole Evaporation
11039,10467,1,1992-09-28,Toy Models For Black Hole Evaporation
11039,10468,1,1992-09-28,Toy Models For Black Hole Evaporation
11039,10472,1,1992-09-28,Toy Models For Black Hole Evaporation
11039,10552,1,1992-09-28,Toy Models For Black Hole Evaporation
11039,10602,1,1992-09-28,Toy Models For Black Hole Evaporation
11039,10637,1,1992-09-28,Toy Models For Black Hole Evaporation
11039,10652,1,1992-09-28,Toy Models For Black Hole Evaporation
11039,10694,1,1992-09-28,Toy Models For Black Hole Evaporation
11039,10739,1,1992-09-28,Toy Models For Black Hole Evaporation
11039,10806,1,1992-09-28,Toy Models For Black Hole Evaporation
11039,10963,1,1992-09-28,Toy Models For Black Hole Evaporation
11039,11000,1,1992-09-28,Toy Models For Black Hole Evaporation
11042,10292,1,1992-09-28,Domain Walls in $N=1$ Supergravity
11042,10517,1,1992-09-28,Domain Walls in $N=1$ Supergravity
11041,10310,1,1992-09-28,Dilaton Black Holes Near the Horizon
11041,10336,1,1992-09-28,Dilaton Black Holes Near the Horizon
11041,10356,1,1992-09-28,Dilaton Black Holes Near the Horizon
11041,10412,1,1992-09-28,Dilaton Black Holes Near the Horizon
11041,10601,1,1992-09-28,Dilaton Black Holes Near the Horizon
11043,10336,1,1992-09-28,Dilatonic Supergravity in Two Dimensions and the Disappearance of
11043,10513,1,1992-09-28,Dilatonic Supergravity in Two Dimensions and the Disappearance of
11043,10637,1,1992-09-28,Dilatonic Supergravity in Two Dimensions and the Disappearance of
11045,10347,1,1992-09-29,$W_{\infty} Algebra in Two-Dimensional Black Hole
11044,10484,1,1992-09-29,Super Self-Duality as Analyticity in Harmonic Superspace
11052,10292,1,1992-10-01,Stability of Vacua and Domain Walls in Supergravity and Superstring
11052,10517,1,1992-10-01,Stability of Vacua and Domain Walls in Supergravity and Superstring
11057,10529,1,1992-10-01,Black Holes Coupled to a Massive Dilaton
11057,10727,1,1992-10-01,Black Holes Coupled to a Massive Dilaton
11057,10998,1,1992-10-01,Black Holes Coupled to a Massive Dilaton
11057,11011,1,1992-10-01,Black Holes Coupled to a Massive Dilaton
11061,10336,1,1992-10-02,Supersymmetry and Positive Energy in Classical and Quantum
11061,10356,1,1992-10-02,Supersymmetry and Positive Energy in Classical and Quantum
11070,10475,1,1992-10-06,The Nonlinear Schrodinger Equation and Conserved Quantities in the
11074,10372,1,1992-10-07,The weaving of curved geometries
11074,10395,1,1992-10-07,The weaving of curved geometries
11074,10403,1,1992-10-07,The weaving of curved geometries
11074,10489,1,1992-10-07,The weaving of curved geometries
11085,10299,1,1992-10-09,Black Holes and Solitons in String Theory
11085,10310,1,1992-10-09,Black Holes and Solitons in String Theory
11085,10320,1,1992-10-09,Black Holes and Solitons in String Theory
11085,10421,1,1992-10-09,Black Holes and Solitons in String Theory
11085,10511,1,1992-10-09,Black Holes and Solitons in String Theory
11085,10529,1,1992-10-09,Black Holes and Solitons in String Theory
11085,19769,1,1992-10-09,Black Holes and Solitons in String Theory
11098,10297,1,1992-10-12,Generalized Integrability and two-dimensional Gravitation
11098,10445,1,1992-10-12,Generalized Integrability and two-dimensional Gravitation
11098,10731,1,1992-10-12,Generalized Integrability and two-dimensional Gravitation
11098,10937,1,1992-10-12,Generalized Integrability and two-dimensional Gravitation
11098,10987,1,1992-10-12,Generalized Integrability and two-dimensional Gravitation
11098,11077,1,1992-10-12,Generalized Integrability and two-dimensional Gravitation
11104,10565,1,1992-10-14,On Paragrassmann Differential Calculus
11107,10609,1,1992-10-14,Superstrings on Curved Spacetimes
11107,10683,1,1992-10-14,Superstrings on Curved Spacetimes
11107,10720,1,1992-10-14,Superstrings on Curved Spacetimes
11108,10475,1,1992-10-14,On The Hamiltonian Structures and The Reductions of The KP Hierarchy
11108,10507,1,1992-10-14,On The Hamiltonian Structures and The Reductions of The KP Hierarchy
11108,10787,1,1992-10-14,On The Hamiltonian Structures and The Reductions of The KP Hierarchy
11108,11070,1,1992-10-14,On The Hamiltonian Structures and The Reductions of The KP Hierarchy
11113,10331,1,1992-10-16,A Novel Representation for the Free Energy in String Theory at Non-Zero
11116,10320,1,1992-10-16,Nearby CFT's in the operator formalism: The role of a connection
11126,10290,1,1992-10-19,Infinite symmetry and Ward identities in two-dimensional string theory
11126,10315,1,1992-10-19,Infinite symmetry and Ward identities in two-dimensional string theory
11126,10332,1,1992-10-19,Infinite symmetry and Ward identities in two-dimensional string theory
11126,10340,1,1992-10-19,Infinite symmetry and Ward identities in two-dimensional string theory
11126,10341,1,1992-10-19,Infinite symmetry and Ward identities in two-dimensional string theory
11126,10347,1,1992-10-19,Infinite symmetry and Ward identities in two-dimensional string theory
11126,10371,1,1992-10-19,Infinite symmetry and Ward identities in two-dimensional string theory
11126,10535,1,1992-10-19,Infinite symmetry and Ward identities in two-dimensional string theory
11126,10595,1,1992-10-19,Infinite symmetry and Ward identities in two-dimensional string theory
11126,10633,1,1992-10-19,Infinite symmetry and Ward identities in two-dimensional string theory
11126,10664,1,1992-10-19,Infinite symmetry and Ward identities in two-dimensional string theory
11126,10772,1,1992-10-19,Infinite symmetry and Ward identities in two-dimensional string theory
11126,10981,1,1992-10-19,Infinite symmetry and Ward identities in two-dimensional string theory
11123,10336,1,1992-10-19,Gravitational Collapse in 1+1 Dimensions and Quantum Gravity
11123,10348,1,1992-10-19,Gravitational Collapse in 1+1 Dimensions and Quantum Gravity
11123,10458,1,1992-10-19,Gravitational Collapse in 1+1 Dimensions and Quantum Gravity
11123,10467,1,1992-10-19,Gravitational Collapse in 1+1 Dimensions and Quantum Gravity
11123,10468,1,1992-10-19,Gravitational Collapse in 1+1 Dimensions and Quantum Gravity
11123,10637,1,1992-10-19,Gravitational Collapse in 1+1 Dimensions and Quantum Gravity
11130,10549,1,1992-10-20,Quantum Einstein-Maxwell Fields: A Unified Viewpoint from the Loop
11132,10684,1,1992-10-21,Regularization and Renormalization of Chern-Simons Theory
11138,10424,1,1992-10-21,The Dark Side of String Theory: Black Holes and Black Strings
11138,10529,1,1992-10-21,The Dark Side of String Theory: Black Holes and Black Strings
11138,10573,1,1992-10-21,The Dark Side of String Theory: Black Holes and Black Strings
11138,10683,1,1992-10-21,The Dark Side of String Theory: Black Holes and Black Strings
11138,10690,1,1992-10-21,The Dark Side of String Theory: Black Holes and Black Strings
11138,10720,1,1992-10-21,The Dark Side of String Theory: Black Holes and Black Strings
11138,10727,1,1992-10-21,The Dark Side of String Theory: Black Holes and Black Strings
11138,10819,1,1992-10-21,The Dark Side of String Theory: Black Holes and Black Strings
11138,10998,1,1992-10-21,The Dark Side of String Theory: Black Holes and Black Strings
11138,11057,1,1992-10-21,The Dark Side of String Theory: Black Holes and Black Strings
11138,11085,1,1992-10-21,The Dark Side of String Theory: Black Holes and Black Strings
11140,10299,1,1992-10-22,"Marginal Deformations of WZNW and Coset Models from O(d,d)"
11140,10500,1,1992-10-22,"Marginal Deformations of WZNW and Coset Models from O(d,d)"
11140,10511,1,1992-10-22,"Marginal Deformations of WZNW and Coset Models from O(d,d)"
11140,10529,1,1992-10-22,"Marginal Deformations of WZNW and Coset Models from O(d,d)"
11139,10998,1,1992-10-22,Stringy Quantum Effects in 2-Dimensional Black-Hole
11139,11000,1,1992-10-22,Stringy Quantum Effects in 2-Dimensional Black-Hole
11160,10698,1,1992-10-28,Bicovariant Quantum Algebras and Quantum Lie Algebras
11160,10702,1,1992-10-28,Bicovariant Quantum Algebras and Quantum Lie Algebras
11167,10578,1,1992-10-30,q-deformed conformal and Poincar{\'e} algebras on quantum 4-spinors
11167,10650,1,1992-10-30,q-deformed conformal and Poincar{\'e} algebras on quantum 4-spinors
11169,10534,1,1992-10-30,Non critical super strings on world sheets of constant curvature
11174,10336,1,1992-10-31,All Or Nothing: On the Small Fluctuations of Two-Dimensional
11174,10683,1,1992-10-31,All Or Nothing: On the Small Fluctuations of Two-Dimensional
11180,10300,1,1992-11-02,A Quadratic Deformation of the Heisenberg-Weyl and Quantum Oscillator
11180,10565,1,1992-11-02,A Quadratic Deformation of the Heisenberg-Weyl and Quantum Oscillator
11180,10848,1,1992-11-02,A Quadratic Deformation of the Heisenberg-Weyl and Quantum Oscillator
11178,10335,1,1992-11-02,Eluding the no-hair conjecture: Black holes in spontaneously broken
11178,10365,1,1992-11-02,Eluding the no-hair conjecture: Black holes in spontaneously broken
11181,10336,1,1992-11-02,Semiclassical Extremal Blackholes
11181,10458,1,1992-11-02,Semiclassical Extremal Blackholes
11181,10467,1,1992-11-02,Semiclassical Extremal Blackholes
11181,10468,1,1992-11-02,Semiclassical Extremal Blackholes
11182,10301,1,1992-11-03,Black Hole Uncertainties
11184,10365,1,1992-11-03,Entropy and Action of Dilaton Black Holes
11184,10383,1,1992-11-03,Entropy and Action of Dilaton Black Holes
11184,10601,1,1992-11-03,Entropy and Action of Dilaton Black Holes
11184,10950,1,1992-11-03,Entropy and Action of Dilaton Black Holes
11184,11057,1,1992-11-03,Entropy and Action of Dilaton Black Holes
11184,11142,1,1992-11-03,Entropy and Action of Dilaton Black Holes
11191,10289,1,1992-11-04,Lorentz-Covariant Green-Schwarz Superstring Amplitudes
11192,10389,1,1992-11-04,Moduli and Twisted Sector Dependence of Z_N x Z_M Orbifold Couplings
11195,10336,1,1992-11-05,Black Hole Remnants and the Information Puzzle
11195,10348,1,1992-11-05,Black Hole Remnants and the Information Puzzle
11195,10356,1,1992-11-05,Black Hole Remnants and the Information Puzzle
11195,10493,1,1992-11-05,Black Hole Remnants and the Information Puzzle
11195,10566,1,1992-11-05,Black Hole Remnants and the Information Puzzle
11195,11000,1,1992-11-05,Black Hole Remnants and the Information Puzzle
11198,10342,1,1992-11-06,Quantum symmetries in supersymmetric Toda theories
11198,10617,1,1992-11-06,Quantum symmetries in supersymmetric Toda theories
11198,10838,1,1992-11-06,Quantum symmetries in supersymmetric Toda theories
11196,11175,1,1992-11-06,"Unification of Gravity, Gauge and Higgs Fields by Confined Quantum"
11199,10370,1,1992-11-06,Dilogarithm Identities in Conformal Field Theory
11199,10706,1,1992-11-06,Dilogarithm Identities in Conformal Field Theory
11199,10809,1,1992-11-06,Dilogarithm Identities in Conformal Field Theory
11203,10346,1,1992-11-09,Extended N=2 Superconformal Structure of Gravity and W-Gravity Coupled
11203,10562,1,1992-11-09,Extended N=2 Superconformal Structure of Gravity and W-Gravity Coupled
11203,10734,1,1992-11-09,Extended N=2 Superconformal Structure of Gravity and W-Gravity Coupled
11203,10832,1,1992-11-09,Extended N=2 Superconformal Structure of Gravity and W-Gravity Coupled
11209,10298,1,1992-11-11,All Abelian Symmetries of Landau-Ginzburg Potentials
11209,10385,1,1992-11-11,All Abelian Symmetries of Landau-Ginzburg Potentials
11209,10542,1,1992-11-11,All Abelian Symmetries of Landau-Ginzburg Potentials
11209,10581,1,1992-11-11,All Abelian Symmetries of Landau-Ginzburg Potentials
11209,11001,1,1992-11-11,All Abelian Symmetries of Landau-Ginzburg Potentials
11209,11088,1,1992-11-11,All Abelian Symmetries of Landau-Ginzburg Potentials
11210,10473,1,1992-11-11,Semiclassical Tunneling in 1+1 Dimensional String Theory
11210,10980,1,1992-11-11,Semiclassical Tunneling in 1+1 Dimensional String Theory
11210,10991,1,1992-11-11,Semiclassical Tunneling in 1+1 Dimensional String Theory
11210,11019,1,1992-11-11,Semiclassical Tunneling in 1+1 Dimensional String Theory
11216,10621,1,1992-11-12,Magnetic Monopoles in String Theory
11216,10645,1,1992-11-12,Magnetic Monopoles in String Theory
11216,10819,1,1992-11-12,Magnetic Monopoles in String Theory
11216,10966,1,1992-11-12,Magnetic Monopoles in String Theory
11215,8151,1,1992-11-12,Canonical Quantization of Non-Einsteinian Gravity and the Problem of
11215,10639,1,1992-11-12,Canonical Quantization of Non-Einsteinian Gravity and the Problem of
11215,10776,1,1992-11-12,Canonical Quantization of Non-Einsteinian Gravity and the Problem of
11220,10304,1,1992-11-13,Finite sigma models and exact string solutions with Minkowski signature
11220,10496,1,1992-11-13,Finite sigma models and exact string solutions with Minkowski signature
11220,10588,1,1992-11-13,Finite sigma models and exact string solutions with Minkowski signature
11220,10627,1,1992-11-13,Finite sigma models and exact string solutions with Minkowski signature
11220,10683,1,1992-11-13,Finite sigma models and exact string solutions with Minkowski signature
11226,10484,1,1992-11-16,Self-Dual Yang-Mills and the Hamiltonian Structures of Integrable
11226,10930,1,1992-11-16,Self-Dual Yang-Mills and the Hamiltonian Structures of Integrable
11226,11070,1,1992-11-16,Self-Dual Yang-Mills and the Hamiltonian Structures of Integrable
11229,10988,1,1992-11-16,On Modular Invariant Partition Functions for Tensor Products of
11233,10287,1,1992-11-17,Quantum algebras and Lie groups
11233,10464,1,1992-11-17,Quantum algebras and Lie groups
11233,10537,1,1992-11-17,Quantum algebras and Lie groups
11234,11185,1,1992-11-17,Off-shell string physics
11238,10304,1,1992-11-18,Two-dimensional dilaton gravity in a unitary gauge
11238,10336,1,1992-11-18,Two-dimensional dilaton gravity in a unitary gauge
11238,10348,1,1992-11-18,Two-dimensional dilaton gravity in a unitary gauge
